,idiom,pinyin,explanation
4297,鹬蚌相争,"['yu', 'bang', 'xiang', 'zheng']",鹬蚌相争，渔翁得利”的省语。比喻双方相持不下，而使第三者从中得利。
4298,偷天换日,"['tou', 'tian', 'huan', 'ri']",比喻暗中改变事物的真相，以达到蒙混欺骗的目的。
4299,同心合力,"['tong', 'xin', 'he', 'li']",团结一致，共同努力。
4300,照葫芦画瓢,"['zhao', 'hu', 'lu', 'hua', 'piao']",比喻照着样子模仿。
4301,不共戴天,"['bu', 'gong', 'dai', 'tian']",戴加在头上或用头顶着。不愿和仇敌在一个天底下并存。形容仇恨极深。
4302,目光炯炯,"['mu', 'guang', 'jiong', 'jiong']",炯炯明亮的样子。两眼明亮有神。
4303,言为心声,"['yan', 'wei', 'xin', 'sheng']",言语是思想的反映，从一个人的话里可以知道他的思想感情。
4304,鸣锣开道,"['ming', 'luo', 'kai', 'dao']",封建时代官吏出门时，前面开路的人敲锣喝令行人让路。比喻为某种事物的出现，制造声势，开辟道路。
4305,雄才大略,"['xiong', 'cai', 'da', 'lve']",非常杰出的才智和谋略。
4306,不干不净,"['bu', 'gan', 'bu', 'jing']",指不洁净，肮脏。也指因忌讳而感觉不洁净。也可形容语文不文明。
4307,旧话重提,"['jiu', 'hua', 'chong', 'ti']",过去说过的，现在又提起了。
4308,无风不起浪,"['wu', 'feng', 'bu', 'qi', 'lang']",没有风不会起波浪。比喻事情发生，总有个原因。
4309,晨钟暮鼓,"['chen', 'zhong', 'mu', 'gu']",暮傍晚。佛教规矩，寺里晚上打鼓，晚上敲钟。比喻可以使人警觉醒悟的话。
4310,时不再来,"['shi', 'bu', 'zai', 'lai']",时时机。时机错过就不会再来了。指行事不要放过时机。
4311,倾国倾城,"['qing', 'guo', 'qing', 'cheng']",倾倾覆；城国。原指因女色而亡国◇多形容妇女容貌极美。
4312,如花似玉,"['ru', 'hua', 'si', 'yu']",像花和玉那样美好。形容女子姿容出众。
4313,小脚女人,"['xiao', 'jiao', 'nv', 'ren']",因用以指思想保守的人。
4314,爱惜羽毛,"['ai', 'xi', 'yu', 'mao']",羽毛比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。
4315,茂林修竹,"['mao', 'lin', 'xiu', 'zhu']",修长。茂密高大的树林竹林。
4316,不足为外人道,"['bu', 'zu', 'wei', 'wai', 'ren', 'dao']",不必跟外面的人说。现多用于要求别人不要把有关的事告诉其他的人。
4317,百步穿杨,"['bai', 'bu', 'chuan', 'yang']",在一百步远以外射中杨柳的叶子。形容箭法或枪法十分高明。
4318,五毒俱全,"['wu', 'du', 'ju', 'quan']",五毒多指蛇、蝎、蜈蚣、壁虎、蟾蜍五种动物。指违法乱纪，各种坏事都做。
4319,踌躇不前,"['chou', 'chu', 'bu', 'qian']",踌躇迟疑不决的样子。犹豫不决，不敢前进。
4320,未卜先知,"['wei', 'bu', 'xian', 'zhi']",卜占卜，打卦，古人用火灼龟甲，看灼开的裂纹推测未来的吉凶祸富。没有占卜便能事先知道。形容有预见。
4321,含苞欲放,"['han', 'bao', 'yu', 'fang']",苞花苞；欲将要；放开放。形容花将开而未开时的样子。
4322,百思不解,"['bai', 'si', 'bu', 'jie']",百多次；解理解。百般思索也无法理解。
4323,咫尺天涯,"['zhi', 'chi', 'tian', 'ya']",咫古代长度单位，周制八寸，合今市尺六寸二分二厘；咫尺比喻距离很近。比喻距离虽近，但很难相见，象是远在天边一样。
4324,满面红光,"['man', 'mian', 'hong', 'guang']",满面整个面部。形容心情舒畅，精神健旺的样子。
4325,旧瓶装新酒,"['jiu', 'ping', 'zhuang', 'xin', 'jiu']",比喻用旧的形式表现新的内容。
4326,神龙见首不见尾,"['shen', 'long', 'jian', 'shou', 'bu', 'jian', 'wei']",原是谈诗的神韵，后比喻人的行踪诡秘，刚一露面又不见了。也比喻言辞闪烁，使人捉摸不透。
4327,排除异己,"['pai', 'chu', 'yi', 'ji']",排挤、清除和自己意见不同或不属于自己集团派系的人。
4328,志在四方,"['zhi', 'zai', 'si', 'fang']",四方天下。有远大的抱负和理想。
4329,独揽大权,"['du', 'lan', 'da', 'quan']",揽把持。一个人把持着权力，独断专行。
4330,一定之规,"['yi', 'ding', 'zhi', 'gui']",一定的规律或规则。比喻已打定的主意。
4331,英雄所见略同,"['ying', 'xiong', 'suo', 'jian', 'lve', 'tong']",所见所见到的，指见解；略大略，大致。英雄人物的见解基本相同同。这是对意见相同的双方表示赞美的话。
4332,垂帘听政,"['chui', 'lian', 'ting', 'zheng']",垂帘太后或皇后临朝听政，殿上用帘子遮隔。听治理。指太后临朝管理国家政事。
4333,以逸待劳,"['yi', 'yi', 'dai', 'lao']",逸安闲；劳疲劳。指在战争中做好充分准备，养精蓄锐，等疲乏的敌人来犯时给以迎头痛击。
4334,脚不沾地,"['jiao', 'bu', 'zhan', 'di']",形容走得非常快，好象脚尖都未着地。同脚不点地”。
4335,安家立业,"['an', 'jia', 'li', 'ye']",安置家庭，创立基业或事业。也指长期在一个地方劳动和生活。
4336,后生可畏,"['hou', 'sheng', 'ke', 'wei']",后生年轻人，后辈；畏敬畏。年轻人是可敬畏的。形容青年人能超过前辈。
4337,神情自若,"['shen', 'qing', 'zi', 'ruo']",自若自然，不变常态。神情态度仍和原来一样。
4338,天理难容,"['tian', 'li', 'nan', 'rong']",旧指做事残忍，灭绝人性，为天理所不容。
4339,半梦半醒,"['ban', 'meng', 'ban', 'xing']",指睡眠尚未清醒。
4340,自卖自夸,"['zi', 'mai', 'zi', 'kua']",夸夸赞。自己卖的东西自己夸好。比喻为自己吹嘘。
4341,万籁俱寂,"['wan', 'lai', 'ju', 'ji']",籁从孔穴中发出的声音；万籁自然界中万物发出的各种声响；寂静。形容周围环境非常安静，一点儿声响都没有。
4342,于心何忍,"['yu', 'xin', 'he', 'ren']",怎能忍心。即内心不忍。
4343,徒劳无益,"['tu', 'lao', 'wu', 'yi']",白费劲，没有一点用处。
4344,邯郸学步,"['han', 'dan', 'xue', 'bu']",邯郸战国时赵国的都城；学步学习走路。比喻模仿人不到家，反把原来自己会的东西忘了。
4345,大彻大悟,"['da', 'che', 'da', 'wu']",彻明白；悟领会。形容彻底醒悟。
4346,能工巧匠,"['neng', 'gong', 'qiao', 'jiang']",指工艺技术高明的人。
4347,四海为家,"['si', 'hai', 'wei', 'jia']",原指帝王占有全国◇指什么地方都可以当作自己的家。指志在四方，不留恋家乡或个人小天地。
4348,相生相克,"['xiang', 'sheng', 'xiang', 'ke']",指金、木、水、火、土五种物质的互相生发以互相克制的关系◇引申为一般物质之间的辩证关系。
4349,居功自傲,"['ju', 'gong', 'zi', 'ao']",居功自恃有功。自以为有功劳而骄傲自大。
4350,青出于蓝,"['qing', 'chu', 'yu', 'lan']",青靛青；蓝蓼蓝之类可作染料的草。青是从蓝草里提炼出来的，但颜色比蓝更深。比喻学生超过老师或后人胜过前人。
4351,今不如昔,"['jin', 'bu', 'ru', 'xi']",昔往昔，过去。现在不如过去。多用于表示对世事的不满情绪。
4352,有口难辩,"['you', 'kou', 'nan', 'bian']",虽然有口，却难以分辩清楚。常指含冤受屈但又无处申诉。
4353,指桑骂槐,"['zhi', 'sang', 'ma', 'huai']",指着桑树骂槐树。比喻表面上骂这个人，实际上是骂那个人。
4354,养虎为患,"['yang', 'hu', 'wei', 'huan']",比喻纵容敌人，留下后患，自己反手其害。
4355,言归正传,"['yan', 'gui', 'zheng', 'zhuan']",正传正题或本题。指话头转回到正题上来。旧小说中常用的套语。
4356,东方不亮西方亮,"['dong', 'fang', 'bu', 'liang', 'xi', 'fang', 'liang']",比喻这里行不通，别的地方尚有回旋余地。
4357,格物致知,"['ge', 'wu', 'zhi', 'zhi']",格推究；致求得。穷究事物原理，从而获得知识。
4358,时运不济,"['shi', 'yun', 'bu', 'ji']",时机和命运不佳。
4359,心神不定,"['xin', 'shen', 'bu', 'ding']",定安定。心里烦躁，精神不安。
4360,水火无情,"['shui', 'huo', 'wu', 'qing']",指水和火是不讲情面的，如疏忽大意，容易造成灾祸。
4361,似水流年,"['si', 'shui', 'liu', 'nian']",流年光阴。形容时间一去不复返。
4362,男耕女织,"['nan', 'geng', 'nv', 'zhi']",封建社会中的小农经济，一家一户经营，男的种田，女的织布。指全家分工劳动。
4363,望梅止渴,"['wang', 'mei', 'zhi', 'ke']",原意是梅子酸，人想吃梅子就会流涎，因而止渴◇比喻愿望无法实现，用空想安慰自己。
4364,羊肠小道,"['yang', 'chang', 'xiao', 'dao']",曲折而极窄的路（多指山路）。
4365,自寻烦恼,"['zi', 'xun', 'fan', 'nao']",自找的烦闷苦恼。意思是，本来不该有烦闷苦恼。
4366,蜕化变质,"['tui', 'hua', 'bian', 'zhi']",蜕化虫类脱皮变化。比喻人堕落变坏。
4367,劳师动众,"['lao', 'shi', 'dong', 'zhong']",劳疲劳，辛苦；师、众军队；动出动，动员。原指出动大批军队。现指动用很多人力。
4368,兵败如山倒,"['bing', 'bai', 'ru', 'shan', 'dao']",兵军队。形容军队溃败就像山倒塌一样，一败涂地。
4369,接风洗尘,"['jie', 'feng', 'xi', 'chen']",指设宴款待远来的客人，以示慰问和欢迎。
4370,拈轻怕重,"['nian', 'qing', 'pa', 'zhong']",指接受任务时拣轻的担子挑，怕挑重担。
4371,秀外慧中,"['xiu', 'wai', 'hui', 'zhong']",秀秀丽；慧联盟。外表秀丽，内心聪明。
4372,自不量力,"['zi', 'bu', 'liang', 'li']",量估量。自己不估量自己的能力。指过高地估计自己的力量。
4373,说来话长,"['shuo', 'lai', 'hua', 'chang']",表示事情很复杂，不是几句话就能说清楚（多指不大愉快的事）。
4374,风卷残云,"['feng', 'juan', 'can', 'yun']",大风把残云卷走。比喻一下子把残存的东西一扫而光。
4375,敢作敢当,"['gan', 'zuo', 'gan', 'dang']",敢有胆量。敢于放手行事，敢于承担责任。
4376,穷山恶水,"['qiong', 'shan', 'e', 'shui']",穷山荒山；恶水经常引起灾害的河流湖泊等。形容自然条件非常差。
4377,龙争虎斗,"['long', 'zheng', 'hu', 'dou']",形容斗争或竞赛很激烈。
4378,拼死拼活,"['pin', 'si', 'pin', 'huo']",①不顾一切地斗争。②用尽全部精力。
4379,百折不回,"['bai', 'zhe', 'bu', 'hui']",折挫折。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。
4380,傲然挺立,"['ao', 'ran', 'ting', 'li']",傲然坚强不屈的样子。挺立像山峰一样高高地耸立。形容坚强而不可动摇。
4381,学富五车,"['xue', 'fu', 'wu', 'che']",五车指五车书。形容读书多，学识丰富。
4382,俗不可耐,"['su', 'bu', 'ke', 'nai']",俗庸俗；耐忍受得住。庸俗得使人受不了。
4383,民生凋敝,"['min', 'sheng', 'diao', 'bi']",民生人民的生计；凋敝衰败，艰苦。社会穷困，经济衰败，人民生活极端困苦。
4384,思绪万千,"['si', 'xu', 'wan', 'qian']",思绪思想的头绪。万千极多。指思想的头绪相当多，思虑复杂多端。
4385,所向无敌,"['suo', 'xiang', 'wu', 'di']",敌抵挡。力量所指向的地方，谁也抵挡不住。形容力量强大，无往不胜。
4386,因人制宜,"['yin', 'ren', 'zhi', 'yi']",因依据；制制定；宜合适。根据人们的不同情况，采取适当的方法解决问题。
4387,弹冠相庆,"['tan', 'guan', 'xiang', 'qing']",弹冠掸去帽子上的灰尘，准备做官。指官场中一人当了官或升了官，同伙就互相庆贺将有官可做。
4388,方寸之地,"['fang', 'cun', 'zhi', 'di']",指心。
4389,成年累月,"['cheng', 'nian', 'lei', 'yue']",成整；累积聚。一年又一年，一月又一月。形容时间长久。
4390,群魔乱舞,"['qun', 'mo', 'luan', 'wu']",成群的魔鬼乱跳乱蹦。比喻一批坏人在政治舞台上猖狂活动。
4391,壁垒森严,"['bi', 'lei', 'sen', 'yan']",壁垒古代军营四周的围墙；森严整齐，严肃。原指军事戒备严密。现也用来比喻彼此界限划得很分明。
4392,清心寡欲,"['qing', 'xin', 'gua', 'yu']",清清净；寡少欲欲望，需求。保持心地清净，减少欲念。
4393,下回分解,"['xia', 'hui', 'fen', 'jie']",章回小说于每回之末所用的套语。现多用以喻事件发展的结果。
4394,阴错阳差,"['yin', 'cuo', 'yang', 'cha']",比喻由于偶然的因素而造成了差错。
4395,仙风道骨,"['xian', 'feng', 'dao', 'gu']",骨气概。仙人的风度，道长的气概。形容人的风骨神采与众不同。
4396,以身殉国,"['yi', 'shen', 'xun', 'guo']",忠于自己的国家而献出生命。
4397,鼠目寸光,"['shu', 'mu', 'cun', 'guang']",形容目光短浅，没有远见。
4398,逼良为娼,"['bi', 'liang', 'wei', 'chang']",①指强迫良家妇女卖淫。②比喻被迫做某件坏事。
4399,千回百转,"['qian', 'hui', 'bai', 'zhuan']",形容反复回旋或进程曲折。
4400,凄风冷雨,"['qi', 'feng', 'leng', 'yu']",凄风寒冷的风；冷雨冰冷的雨。形容天气恶劣◇用来比喻境遇悲惨凄凉。
4401,益寿延年,"['yi', 'shou', 'yan', 'nian']",指延长寿命，增加岁数。同延年益寿”。
4402,又红又专,"['you', 'hong', 'you', 'zhuan']",具有无产阶级的世界观，又掌握专业知识和专门技术。
4403,涸泽而渔,"['he', 'ze', 'er', 'yu']",抽干池水捉鱼。比喻只图眼前利益，不作长远打算。
4404,目光如炬,"['mu', 'guang', 'ru', 'ju']",目光发亮象火炬。形容愤怒地注视着。也形容见识远大。
4405,处之泰然,"['chu', 'zhi', 'tai', 'ran']",处处理，对待；泰然安然，不以为意的样子。若无其事的样子。形容自理事情沉着镇定。也指对待问题毫不在意。
4406,五花大绑,"['wu', 'hua', 'da', 'bang']",先用绳索套住脖子，又绕到背后反剪两臂的绑入方式。
4407,针头线脑,"['zhen', 'tou', 'xian', 'nao']",缝纫用的针线等物。比喻细微的事物。
4408,一张一弛,"['yi', 'zhang', 'yi', 'chi']",意思是宽严相结合，是文王武王治理国家的方法。现用来比喻生活的松紧和工作的劳逸要合理安排。
4409,至善至美,"['zhi', 'shan', 'zhi', 'mei']",至最。最完善，最美好。
4410,绵里藏针,"['mian', 'li', 'cang', 'zhen']",绵丝棉。棉絮里面藏着针。形容柔中有刚。也比喻外貌和善，内心刻毒。
4411,不越雷池,"['bu', 'yue', 'lei', 'shi']",比喻不敢超越一定的范围和界限。同不敢越雷池一步”。
4412,手眼通天,"['shou', 'yan', 'tong', 'tian']",比喻善于钻营，手腕不寻常。
4413,愁云惨雾,"['chou', 'yun', 'can', 'wu']",形容暗淡无光的景象。多比喻令人忧愁苦闷的局面。
4414,不绝如缕,"['bu', 'jue', 'ru', 'lv']",绝断；缕细线。多形容局面危急或声音、气息等低沉微弱、时断时续。
4415,一钱不值,"['yi', 'qian', 'bu', 'zhi']",一个铜钱都不值。比喻毫无价值。
4416,心慌意乱,"['xin', 'huang', 'yi', 'luan']",心里着慌，乱了主意。
4417,贪生怕死,"['tan', 'sheng', 'pa', 'si']",贪舍不得。贪恋生存，畏惧死亡。指对敌作战畏缩不前。
4418,庖丁解牛,"['pao', 'ding', 'jie', 'niu']",庖丁厨工；解肢解分割。比喻经过反复实践，掌握了事物的客观规律，做事得心应手，运用自如。
4419,苦难深重,"['ku', 'nan', 'shen', 'zhong']",遭受的痛苦和灾难既深又重。
4420,狼烟四起,"['lang', 'yan', 'si', 'qi']",狼烟古代边防报警时烧狼粪腾起的烟。四处都是报警的烟火，指边疆不平静。
4421,亦庄亦谐,"['yi', 'zhuang', 'yi', 'xie']",形容既严肃又风趣。
4422,点头哈腰,"['dian', 'tou', 'ha', 'yao']",比喻虚假的恭敬或过分的客气。
4423,鉴往知来,"['jian', 'wang', 'zhi', 'lai']",鉴审察或引为教训；往过去；来未来。根据以往的情形便知道以后怎样发生变化。
4424,狰狞面目,"['zheng', 'ning', 'mian', 'mu']",形容凶恶的相貌。
4425,女娲补天,"['nv', 'wa', 'bu', 'tian']",神话故事，伏羲的妹妹女娲炼五色石补天。形容改造天地的雄伟气魄和大无畏的斗争精神。
4426,春去秋来,"['chun', 'qu', 'qiu', 'lai']",春天过去，秋天到来。形容时光流逝。
4427,少见多怪,"['shao', 'jian', 'duo', 'guai']",见闻少的人遇到不常见的事物就觉得奇怪◇常用来嘲笑见识浅陋的人。
4428,五十步笑百步,"['wu', 'shi', 'bu', 'xiao', 'bai', 'bu']",作战时后退了五十步的人讥笑后退了百步的人。比喻自己跟别人有同样的缺点错误，只是程度上轻一些，却毫无自知之明地去讥笑别人。
4429,吃里爬外,"['chi', 'li', 'pa', 'wai']",接受这一方面的好处，却为那一方面卖力。也指将自己方面的情况告诉对方。
4430,惜墨如金,"['xi', 'mo', 'ru', 'jin']",惜爱惜。爱惜墨就象金子一样。指不轻易动笔。
4431,不敢越雷池一步,"['bu', 'gan', 'yue', 'lei', 'chi', 'yi', 'bu']",越跨过；雷池湖名，在安徽省望江县南。原指不要越过雷池◇比喻不敢超越一定的范围和界限。
4432,南郭先生,"['nan', 'guo', 'xian', 'sheng']",比喻无才而占据其位的人。
4433,不懂装懂,"['bu', 'dong', 'zhuang', 'dong']",自己不懂却装作很精通的样子。
4434,鼓乐喧天,"['gu', 'yue', 'xuan', 'tian']",鼓弹奏。喧天声音大而嘈杂。弹奏着各种乐器，声响大得直冲云天。形容十分欢乐热闹。
4435,大树底下好乘凉,"['da', 'shu', 'di', 'xia', 'hao', 'cheng', 'liang']",比喻有所依托，事情就好办。
4436,照猫画虎,"['zhao', 'mao', 'hua', 'hu']",比喻照着样子模仿。
4437,永志不忘,"['yong', 'zhi', 'bu', 'wang']",永远记住，不遗忘。
4438,光阴似箭,"['guang', 'yin', 'si', 'jian']",光阴时间。时间如箭，迅速流逝。形容时间过得极快。
4439,鸣冤叫屈,"['ming', 'yuan', 'jiao', 'qu']",指申诉冤屈。
4440,青史留名,"['qing', 'shi', 'liu', 'ming']",青史史书。在历史上留下好名声。
4441,自视甚高,"['zi', 'shi', 'shen', 'gao']",把自己看得很高（多指身分，学识等）。
4442,是非分明,"['shi', 'fei', 'fen', 'ming']",正确与错误非常分明。
4443,破除迷信,"['po', 'chu', 'mi', 'xin']",原指从宗教迷信的束缚中解脱出来。现也指解放思想，扫除自卑感，树立敢想、敢说、敢干的新风格。
4444,山重水复,"['shan', 'zhong', 'shui', 'fu']",指山峦重迭，水流盘曲。
4445,择善而从,"['ze', 'shan', 'er', 'cong']",从追随，引伸为学习。指选择好的学，按照好的做。
4446,眼明手快,"['yan', 'ming', 'shou', 'kuai']",看得准，动作敏捷。
4447,牛头不对马嘴,"['niu', 'tou', 'bu', 'dui', 'ma', 'zui']",比喻答非所问或两下不相合。
4448,志在千里,"['zhi', 'zai', 'qian', 'li']",形容志向远大。
4449,酒酣耳热,"['jiu', 'han', 'er', 're']",酒酣酒喝得很痛快。形容喝酒喝得正高兴的时候。
4450,遗臭万年,"['yi', 'chou', 'wan', 'nian']",遗臭死后留下的恶名。死后恶名一直流传，永远被人唾骂。
4451,不祥之兆,"['bu', 'xiang', 'zhi', 'zhao']",兆预兆。不吉利的预兆。
4452,东挪西凑,"['dong', 'nuo', 'xi', 'cou']",指各处挪借，凑集款项。
4453,风雨如晦,"['feng', 'yu', 'ru', 'hui']",指白天刮风下雨，天色暗得象黑夜一样。形容政治黑暗，社会不安。
4454,摇头摆尾,"['yao', 'tou', 'bai', 'wei']",原形容鱼悠然自在的样子。现用来形容人摇头晃脑、轻浮得意的样子。
4455,泼妇骂街,"['po', 'fu', 'ma', 'jie']",泼妇泼辣凶悍的妇女。象泼妇在街上当众谩骂。多指大肆攻击、谩骂别人。
4456,风雨不改,"['feng', 'yu', 'bu', 'gai']",比喻处于恶劣环境中不变其节操。
4457,浪子回头金不换,"['lang', 'zi', 'hui', 'tou', 'jin', 'bu', 'huan']",指不走正道的人改邪归正后极其可贵。
4458,不可胜数,"['bu', 'ke', 'sheng', 'shu']",胜尽。数也数不过来。形容数量极多。
4459,局促不安,"['ju', 'cu', 'bu', 'an']",局促拘束。形容举止拘束，心中不安。
4460,仪表堂堂,"['yi', 'biao', 'tang', 'tang']",仪表人的外表，风度；堂堂仪容庄严大方的样子。形容人的容貌端正。
4461,欺软怕硬,"['qi', 'ruan', 'pa', 'ying']",欺负软弱的，害怕强硬的。
4462,打开天窗说亮话,"['da', 'kai', 'tian', 'chuang', 'shuo', 'liang', 'hua']",比喻无须规避，公开说明。
4463,趋炎附势,"['qu', 'yan', 'fu', 'shi']",趋奔走；炎热，比喻权势。奉承和依附有权有势的人。
4464,狗血淋头,"['gou', 'xue', 'lin', 'tou']",旧时迷信说法，谓狗血淋在妖人头上，就可使其妖法失灵◇形容骂得很凶，使被骂者如淋了狗血的妖人一样，无言以对，无计可施。
4465,与时偕行,"['yu', 'shi', 'xie', 'xing']",变通趋时。
4466,飘飘欲仙,"['piao', 'piao', 'yu', 'xian']",欲将要。飘飞上升，像要超脱尘世而成仙。多指人的感受轻松爽快。亦形容诗文、书法等的情致轻快飘逸。
4467,偷偷摸摸,"['tou', 'tou', 'mo', 'mo']",形容瞒着别人做事，不敢让别人知道。
4468,脚踏两只船,"['jiao', 'ta', 'liang', 'zhi', 'chuan']",比喻对事物的认识不清而拿不定主意，或为了投机取巧而跟不同的两个方面都保持关系。
4469,一夫当关,"['yi', 'fu', 'dang', 'guan']",形容地势十分险要，易守难攻。
4470,鹤发童颜,"['he', 'fa', 'tong', 'yan']",仙鹤羽毛般雪白的头发，儿童般红润的面色。形容老年人气色好。
4471,大地回春,"['da', 'di', 'hui', 'chun']",指冬去春来，草木萌生，大地上出现一片生机景象。有时亦用比喻形势好转。
4472,沸反盈天,"['fei', 'fan', 'ying', 'tian']",沸滚翻；盈充满。声音象水开锅一样沸腾翻滚，充满了空间。形容人声喧闹，乱成一片
4473,事不过三,"['shi', 'bu', 'guo', 'san']",指同样的事不宜连作三次。
4474,开疆辟土,"['kai', 'jiang', 'pi', 'tu']",开开拓；疆边疆；辟开辟；土国土。开拓疆域，扩展领土。
4475,有条有理,"['you', 'tiao', 'you', 'li']",形容层次、脉络清楚。
4476,悔恨交加,"['hui', 'hen', 'jiao', 'jia']",恨遗憾；交加一起出现。形容非常懊悔。
4477,牛刀小试,"['niu', 'dao', 'xiao', 'shi']",牛刀宰牛的刀；小试稍微用一下，初显身手。比喻有大本领的人，先在小事情上略展才能。也比喻有能力的人刚开始工作就表现出才。
4478,洞若观火,"['dong', 'ruo', 'guan', 'huo']",洞透彻。形容观察事物非常清楚，好象看火一样。
4479,一决雌雄,"['yi', 'jue', 'ci', 'xiong']",雌雄比喻胜负、高下。决一胜负，比个高下。
4480,玉树临风,"['yu', 'shu', 'lin', 'feng']",形容人风度潇洒，秀美多姿。亦作临风玉树”。
4481,出乎意外,"['chu', 'hu', 'yi', 'wai']",用于意想、预料之外。
4482,伯乐相马,"['bo', 'le', 'xiang', 'ma']",伯乐相传为秦穆公时的人，姓孙名阳，善相马。指个人或集体发现、推荐、培养和使用人才的人。
4483,一息尚存,"['yi', 'xi', 'shang', 'cun']",息呼吸，气息；尚还。还有一口气。指生命的最后阶段。
4484,云开雾散,"['yun', 'kai', 'wu', 'san']",指天气由阴暗转为明朗。常用以比喻怨愤、疑虑得以消除。
4485,珍禽异兽,"['zhen', 'qin', 'yi', 'shou']",珍贵重的；奇特殊的。珍奇的飞禽，罕见的走兽。
4486,比肩而立,"['bi', 'jian', 'er', 'li']",比肩并肩。肩并肩地站立。比喻彼此距离极近。
4487,精明强干,"['jing', 'ming', 'qiang', 'gan']",机灵聪明，办事能力强。
4488,心如止水,"['xin', 'ru', 'zhi', 'shui']",形容心境平静，毫无杂念。
4489,死无葬身之地,"['si', 'wu', 'zang', 'shen', 'zhi', 'di']",死了没有地方埋葬。形容惨死或严厉的惩罚。
4490,大智若愚,"['da', 'zhi', 'ruo', 'yu']",某些才智出众的人，看来好象愚笨，不露锋芒。
4491,仁义道德,"['ren', 'yi', 'dao', 'de']",泛指旧时鼓吹的道德规范。
4492,洋洋洒洒,"['yang', 'yang', 'sa', 'sa']",洋洋盛大、众多的样子；洒洒明白、流畅的样子。形容文章或谈话丰富明快，连续不断。
4493,锦绣河山,"['jin', 'xiu', 'he', 'shan']",形容壮丽华美的祖国山河。
4494,东西南北,"['dong', 'xi', 'nan', 'bei']",指四方、到处、各地、普天下或方向；亦指到处飘泊，行踪不定。
4495,棒打鸳鸯,"['bang', 'da', 'yuan', 'yang']",用木棒打散一双鸳鸯。比喻拆散恩爱的夫妻或情侣。
4496,两小无猜,"['liang', 'xiao', 'wu', 'cai']",猜猜疑。男女小时候在一起玩耍，没有猜疑。
4497,不识庐山真面目,"['bu', 'shi', 'lu', 'shan', 'zhen', 'mian', 'mu']",比喻认不清事物的真相和本质。
4498,金风送爽,"['jin', 'feng', 'song', 'shuang']",金风指秋天的风。古时以阴阳五行解释季节，秋为金。秋风带来了凉意。
4499,冤家路窄,"['yuan', 'jia', 'lu', 'zhai']",仇敌相逢在窄路上。指仇人或不愿意见面的人偏偏相遇。
4500,情景交融,"['qing', 'jing', 'jiao', 'rong']",指文艺作品中环境的描写、气氛的渲染跟人物思想感情的抒发结合得很紧密。
4501,左邻右里,"['zuo', 'lin', 'you', 'li']",泛指邻居。
4502,耍嘴皮子,"['shua', 'zui', 'pi', 'zi']",指光说不做。也指卖弄口才（含贬义）。
4503,缘木求鱼,"['yuan', 'mu', 'qiu', 'yu']",缘木爬树。爬到树上去找鱼。比喻方向或办法不对头，不可能达到目的。
4504,手不释卷,"['shou', 'bu', 'shi', 'juan']",释放下；卷指书籍。书本不离手。形容勤奋好学。
4505,格杀勿论,"['ge', 'sha', 'wu', 'lun']",格打；格杀打死；勿论不论罪。指把拒捕、行凶或违反禁令的人当场打死而不以杀人论罪。
4506,莫逆之交,"['mo', 'ni', 'zhi', 'jiao']",莫逆没有抵触，感情融洽；交交往，友谊。指非常要好的朋友。
4507,等米下锅,"['deng', 'mi', 'xia', 'guo']",等着米来下锅烧饭。比喻生活困难，缺少钱用。
4508,变化无穷,"['bian', 'hua', 'wu', 'qiong']",穷尽，终结。形容不断变化，没有止境。
4509,宝刀未老,"['bao', 'dao', 'wei', 'lao']",形容人到老年还依然威猛，不减当年。
4510,别无他物,"['bie', 'wu', 'ta', 'wu']",除此之外没有多余的东西。同别无长物”。
4511,杀身之祸,"['sha', 'shen', 'zhi', 'huo']",自身性命遭杀害的大祸。
4512,苟且偷生,"['gou', 'qie', 'tou', 'sheng']",苟且得过且过；偷生苟且地活着。得过且过，勉强活着。
4513,寥若晨星,"['liao', 'ruo', 'chen', 'xing']",寥稀疏。稀少得好象早晨的星星。指为数极少。
4514,无往不利,"['wu', 'wang', 'bu', 'li']",所到之处，没有不顺利的。指处处行得通，办得好。
4515,庸庸碌碌,"['yong', 'yong', 'lu', 'lu']",庸平庸。指平凡无奇。
4516,心猿意马,"['xin', 'yuan', 'yi', 'ma']",心意好象猴子跳、马奔跑一样控制不住。形容心里东想西想，安静不下来。
4517,大呼小叫,"['da', 'hu', 'xiao', 'jiao']",高一声低一声地乱叫乱喊。
4518,河东狮吼,"['he', 'dong', 'shi', 'hou']",比喻悍妒的妻子对丈夫大吵大闹。
4519,大模大样,"['da', 'mo', 'da', 'yang']",形容态度傲慢，目中无人的样子。
4520,专横跋扈,"['zhuan', 'heng', 'ba', 'hu']",跋扈霸道，不讲理。专断蛮横，任意妄为，蛮不讲理。
4521,淡泊明志,"['dan', 'bo', 'ming', 'zhi']",指不追求名利才能使志趣高洁。
4522,人各有志,"['ren', 'ge', 'you', 'zhi']",指每个人各自有不同的志向愿望，不能勉为其难。
4523,动荡不定,"['dong', 'dang', 'bu', 'ding']",荡摇动。动荡亿，不安定。形容局势不稳定，不平静。
4524,气贯长虹,"['qi', 'guan', 'chang', 'hong']",贯贯穿。正义的精神直上高空，穿过彩虹。形容精神极其崇高，气概极其豪壮。
