idiom,pinyin,explanation
海誓山盟,hǎi shì shān méng,指男女相爱时立下的誓言，爱情要象山和海一样永恒不变。
臭不可闻,chòu bù kě wén,臭得使人受不了。比喻人名声极坏。
肝肠寸断,gān cháng cùn duàn,肝肠一寸寸断开。比喻伤心到极点。
一统天下,yī tǒng tiān xià,天下指全国。原指统一的国家，现多指某一地区或某一机构不贯彻上级意图而形成的独立王国。也泛指为少数人所霸占的某一领域。
自吹自擂,zì chuī zì léi,擂打鼓。自己吹喇叭，自己打鼓。比喻自我吹嘘。
删繁就简,shān fán jiù jiǎn,删除去；就趋向。去掉繁杂部分，使它趋于简明。
分外妖娆,fèn wài yāo ráo,分外格外；妖娆妖媚艳丽。形容景色异常艳丽。
不露声色,bù lù shēng sè,声说话的声音；色脸上的表情。心里的打算不在说话和脸色上显露出来。
转眼之间,zhuǎn yǎn zhī jiān,转眼一眨眼。一眨眼的时间。形容极短的时间。
打入冷宫,dǎ rù lěng gōng,打与某些动词结合成为一个词，表示进行的意思；冷宫古代皇帝把失宠的后妃软禁于冷僻宫内。比喻人不被重视或把事情搁置一边。
如胶似漆,rú jiāo sì qī,象胶和漆那样黏结。形容感情炽烈，难舍难分。多指夫妻恩爱。
三教九流,sān jiào jiǔ liú,旧指宗教或学术上的各种流派。也指社会上各行各业的人。
龇牙咧嘴,zī yá liě zuǐ,龇露齿。张着嘴巴，露出牙齿。形容凶狠或疼痛难忍的样子。
群起而攻之,qún qǐ ér gōng zhī,大家都起来攻击它，反对它。
旖旎风光,yǐ nǐ fēng guāng,旖旎柔和美丽。柔和而美丽的韵致风采或自然风景。
同床异梦,tóng chuáng yì mèng,异不同。原指夫妇生活在一起，但感情不和。比喻同做一件事而心里各有各的打算。
人心涣散,rén xīn huàn sàn,涣散散漫，松懈。思想不统一。形容人心不齐。
鸡飞狗跳,jī fēi gǒu tiào,把鸡吓得飞起来，把狗吓得到处乱跳。形容惊慌得乱成一团。
糊里糊涂,hú lǐ hú tú,认识凝，不明事理。也形容思想处于凝不清的状态。
朝发夕至,zhāo fā xī zhì,早上出发晚上就能到达。形容路程不远或交通方便。
欢声雷动,huān shēng léi dòng,欢笑的声音象雷一样响着。形容热烈欢乎的动人场面。
盛情难却,shèng qíng nán què,浓厚的情意难以推辞。
谈虎色变,tán hǔ sè biàn,色脸色。原指被老虎咬过的人才真正知道虎的厉害◇比喻一提到自己害怕的事就情绪紧张起来。
罪加一等,zuì jiā yī děng,指对罪犯加重处罚。
世态炎凉,shì tài yán liáng,世态人情世故；炎热，亲热；凉冷淡。指一些人在别人得势时百般奉承，别人失势时就十分冷淡。
以德报怨,yǐ dé bào yuàn,德恩惠。怨仇恨。不记别人的仇，反而给他好处。
乔迁之喜,qiáo qiān zhī xǐ,乔迁鸟儿飞离深谷，迁到高大的树木上去∝人迁居或贺人官职升迁之辞。
殃及池鱼,yāng jí chí yú,比喻无缘无故地遭受祸害。
大雨如注,dà yǔ rú zhù,注灌入。形容寸下得很大，雨水象往下灌似的。
庞然大物,páng rán dà wù,庞然高大的样子。指高大笨重的东西。现也用来形容表面上很强大但实际上很虚弱的事物。
瓜田李下,guā tián lǐ xià,比喻容易引起嫌疑的场合。
授人以柄,shòu rén yǐ bǐng,把剑柄交给别人。比喻将权力交给别人或让人抓住缺点、失误，使自己被动。
论功行赏,lùn gōng xíng shǎng,论按照。按功劳的大小给于奖赏。
塞上江南,sāi shàng jiāng nán,原指古凉州治内贺兰山一带◇泛指塞外富庶之地。同塞北江南”。
起承转合,qǐ chéng zhuǎn hé,起开头；承承接上文加以申述；转转折；合结束。泛指文章的做法。也比喻固定呆板的形式。
小家子气,xiǎo jiā zi qì,小家子旧指出身低微的人。形容人的言谈举止及做事不大方。
人亡政息,rén wáng zhèng xī,亡失去，死亡；息废，灭。旧指一个掌握政权的人死了，他的政治措施也跟着停顿下来。
东施效颦,dōng shī xiào pín,效仿效；颦皱眉头。比喻胡乱模仿，效果极坏。
时势造英雄,shí shì zào yīng xióng,时势一段时期内的客观形势。特定的历史条件，如社会动荡，使人的聪明才智显露出来，并相互作用，使之成为英雄人物。
饭来张口,fàn lái zhāng kǒu,指吃现成饭。形容不劳而获，坐享其成。
乘人之危,chéng rén zhī wēi,乘人家危难的时候去威胁损害。
远涉重洋,yuǎn shè chóng yáng,重洋辽阔无边的海洋。远远地渡过海洋。
不三不四,bù sān bù sì,指不正派，也指不象样子。
妖魔鬼怪,yāo mó guǐ guài,妖怪和魔鬼。比喻各种桅人民利益的邪恶势力。
削足适履,xuē zú shì lǚ,适适应；履鞋。因为鞋小脚大，就把脚削去一块来凑和鞋的大小。比喻不合理的牵就凑合或不顾具体条件，生搬硬套。
形势逼人,xíng shì bī rén,指形势发展很快，迫使人不得不更加努力。
抱成一团,bào chéng yī tuán,保持一致，行动起来像一个人。形容关系极为亲密。
功名利禄,gōng míng lì lù,指名利地位。
良辰吉日,liáng chén jí rì,良好；辰时日；吉吉利。美好的时辰，吉利的日子◇常用以称宜于成亲的日子。
百战不殆,bǎi zhàn bù dài,经历许多次战役，都没有遭到危险。形容善于用兵。
奖罚分明,jiǎng fá fēn míng,该赏的赏，该罚的罚，绝不含糊。
不堪入耳,bù kān rù ěr,堪可，能；入耳听。指说的话使人听不进去（多指脏话）。
洋为中用,yáng wéi zhōng yòng,批判地吸收外国文化中一切有益的东西，为我所用。
附庸风雅,fù yōng fēng yǎ,附庸依傍，追随；风雅泛指诗歌。指缺乏文化修养的人为了装点门面而结交文人，参加有关文化活动。
孟母三迁,mèng mǔ sān qiān,孟轲的母亲为选择良好的环境教育孩子，三次迁居。
生气勃勃,shēng qì bó bó,勃勃旺盛的样子。形容人或社会富有朝气，充满活力。
国难当头,guó nàn dāng tóu,国家正面临着巨大的灾难。
泪如泉涌,lèi rú quán yǒng,眼泪象泉水一样直往外涌。形容悲痛或害怕之极。
寓意深远,yù yì shēn yuǎn,寄托或隐含的意思很深（多指语言文字或艺术作品）。
闲情逸致,xián qíng yì zhì,逸安闲；致情趣。指悠闲的心情和安逸的兴致。
弃之可惜,qì zhī kě xī,扔掉它未免可惜。
若有若无,ruò yǒu ruò wú,形容事物不清晰或关系不亲密。
一语双关,yī yǔ shuāng guān,一句话包含两个意思。
飞禽走兽,fēi qín zǒu shòu,禽鸟；兽野兽。飞翔的禽鸟，奔跑的野兽。泛指鸟类和兽类。
牛郎织女,niú láng zhī nǚ,牛郎织女为神话人物，从牵牛星、织女星的星名衍化而来。比喻分居两地的夫妻。也泛指一对恋人。
莺歌燕舞,yīng gē yàn wǔ,黄莺在歌唱，小燕子在飞舞。形容春天鸟儿喧闹活跃的景象。现常比喻革命和建设蓬勃兴旺的景象。
集腋成裘,jí yè chéng qiú,腋腋下，指狐狸腋下的皮毛；裘皮衣↑狸腋下的皮虽很小，但聚集起来就能制一件皮袍。比喻积少成多。
半生不熟,bàn shēng bù shú,没有完全成熟或未烹煮至可食用的程度。比喻不熟悉；不熟练。
百战百胜,bǎi zhàn bǎi shèng,每战必胜。形容所向无敌。
财迷心窍,cái mí xīn qiào,指由于一心爱财而心中糊涂。
风霜雨雪,fēng shuāng yǔ xuě,比喻经历了种种艰难困苦。
披头散发,pī tóu sàn fà,头发长而散乱。形容仪容不整。
倾巢而出,qīng cháo ér chū,倾倒出；巢巢穴。比喻敌人出动全部兵力进行侵扰。
咬紧牙关,yǎo jīn yá guān,尽最大努力忍受痛苦或克服困难。
目中无人,mù zhōng wú rén,眼里没有别人。形容骄傲自大，看不起人。
汗如雨下,hàn rú yǔ xià,汗珠象下雨似的往下掉。形容出汗很多。
束手束脚,shù shǒu shù jiǎo,捆住手脚。形容胆子小，顾虑多。
揭竿而起,jiē gān ér qǐ,揭高举；竿竹竿，代旗帜。砍了树干当武器，举起竹竿当旗帜，进行反抗。指人民起义。
拍案惊奇,pāi àn jīng qí,对奇异的事情拍着桌子惊叹。
追根究底,zhuī gēn jiū dǐ,追究根底。一般指追问一件事的原由。
大家风范,dà jiā fēng fàn,大家旧指有声望地位的高门贵族。风范风度、气派。出自高贵人家特有的气派。
昼夜兼程,zhòu yè jiān chéng,日以继夜的赶路。
面不改色,miàn bù gǎi sè,脸色不变。形容从容镇静的样子。
稳如泰山,wěn rú tài shān,形容象泰山一样稳固，不可动摇。
事后诸葛亮,shì hòu zhū gé liàng,比喻事后自称有先见之明的人。
搬弄是非,bān nòng shì fēi,搬弄挑拔。把别人的话传来传去，有意挑拔，或在背后乱加议论，引起纠纷。
情非得已,qíng fēi dé yǐ,指情况出于不得已。
望穿秋水,wàng chuān qiū shuǐ,秋水比喻人的眼睛。眼睛都望穿了。形容对远地亲友的殷切盼望。
风姿绰约,fēng zī chuō yué,风风度；绰约女子姿态柔美。形容女子风韵姿态柔美动人。
黔驴技穷,qián lǘ jì qióng,黔今贵州省一带；技技能；穷尽。比喻有限的一点本领也已经用完了。
叠床架屋,dié chuáng jià wū,床上搁床，屋上架屋。比喻重复、累赘。
百般刁难,bǎi bān diāo nàn,用各种手段使对方过不去。
闲杂人等,xián zá rén děng,指与工作无关的人员。
殷鉴不远,yīn jiàn bù yuǎn,殷指商朝后期；鉴镜子。指殷商子孙应以夏的灭亡为借戒◇泛指前人的教训就在眼前。
影影绰绰,yǐng yǐng chuò chuò,模凝糊，不真切。
无亲无故,wú qīn wú gù,没有亲属和故旧。形容孤单。
不可救药,bù kě jiù yào,药治疗。病已重到无法用药医治的程度。比喻已经到了无法挽救的地步。
火中取栗,huǒ zhōng qǔ lì,偷取炉中烤熟的栗子。比喻受人利用，冒险出力却一无所得。
奉为圭臬,fèng wéi guī niè,奉信奉；圭测日影器；臬射箭的靶子；圭臬比喻事物的准则。比喻把某些言论或事当成自己的准则。
生财有道,shēng cái yǒu dào,原指生财有个大原则，后指搞钱很有办法。
笼络人心,lǒng luò rén xīn,笼络笼和络原是羁绊牲口的工具，引伸为用手段拉拢。耍弄手段，拉拢别人。
不破不立,bù può bù lì,不破除旧的，就不能建立新的。
黄道吉日,huáng dào jí rì,迷信的人认为可以办事的吉利日子。
化零为整,huà líng wéi zhěng,把零散的部分集中为一个整体。
惶惶不安,huáng huáng bù ān,惶恐惧。内心害怕，十分不安。
依葫芦画瓢,yī hú lu huà piáo,照着真葫芦的样子画葫芦。比喻刻板地照着做。
造谣生事,zào yáo shēng shì,制造谣言，挑起事端。
上情下达,shàng qíng xià dá,下面的情况或意见能够通达于上。
开山鼻祖,kāi shān bí zǔ,比喻一个学术流派、技艺的开创者。
皮开肉绽,pí kāi ròu zhàn,绽裂开。皮肉都裂开了。形容伤势严重。多指受残酷拷打。
嬉皮笑脸,xī pí xiào liǎn,形容嬉笑不严肃的样子。
大器晚成,dà qì wǎn chéng,大器比喻大才。指能担当重任的人物要经过长期的锻炼，所以成就较晚。也用做对长期不得志的人的安慰话。
一鼻子灰,yī bí zǐ huī,比喻碰壁或受斥责。
倾巢出动,qīng cháo chū dòng,倾倒出；巢巢穴。比喻敌人出动全部兵力进行侵扰。
诲人不倦,huì rén bù juàn,诲教导。教导人特别耐心，从不厌倦。
一步登天,yī bù dēng tiān,登上。一步跨上青天。比喻一下子就达到很高的境界或程度。有时也用来比喻人突然得志，爬上高位。
安之若素,ān zhī ruò sù,安安然，坦然；之代词，指人或物；素平常。安然相处，和往常一样，不觉得有什么不合适。
洛阳纸贵,luò yáng zhǐ guì,比喻著作有价值，流传广。
个中滋味,gè zhōng zī wèi,个中其中；滋味味道，情味。其中的味道。指切身体会的甘苦。
前所未闻,qián suǒ wèi wén,前先前。从来没有听说过。
夜郎自大,yè láng zì dà,夜郎汉代西南地区的一个小国。比喻人无知而又狂妄自大。
有鼻子有眼,yǒu bí zi yǒu yǎn,比喻把虚构的事物说得象真实的一样。
伶牙俐齿,líng yá lì chǐ,伶、俐聪明，灵活。形容人机灵，很会说话。
一毛不拔,yī máo bù bá,一根汗毛也不肯拔。原指杨朱的极端为我主义◇形容为人非常吝啬自私。
果然如此,guǒ rán rú cǐ,果真是这样。指不出所料。
故土难离,gù tǔ nán lí,故土出生地，或过去住过的地方，这里指故乡、祖国。难于离开故乡的土地。形容对家乡或祖国有无限的眷恋之情。
甘拜下风,gān bài xià fēng,表示真心佩服，自认不如。
如履平地,rú lǚ píng dì,履踩。像走在平地上一样。比喻从事某项活动十分顺利。
冷言冷语,lěng yán lěng yǔ,冷意含讥讽。带讥讽意味的冷冰冰的话。
花前月下,huā qián yuè xià,本指游乐休息的环境◇多指谈情说爱的处所。
百鸟朝凤,bǎi niǎo cháo fèng,朝朝见；凤凤凰，古代传说中的鸟王。旧时喻指君主圣明而天下依附，后也比喻德高望重者众望所归。
犬牙交错,quǎn yá jiāo cuò,错交叉，错杂。比喻交界线很曲折，象狗牙那样参差不齐。也比喻情况复杂，双方有多种因素参差交错。
多快好省,duō kuài hǎo shěng,数量多，速度快，质量好，成本省。
朝不保夕,zhāo bù bǎo xī,早晨不能知道晚上会变成什么样子或发生什么情况。形容形势危急，难以预料。
大江东去,dà jiāng dōng qù,长江的水往东奔流而去◇借用为词牌名。多表示陈迹消逝，历史向前发展。
开门七件事,kāi mén qī jiàn shì,比喻每天的必需开支。
挂一漏万,guà yī lòu wàn,挂钩取，这里指说到，提到；漏遗漏。形容说得不全，遗漏很多。
鸠占鹊巢,jiū zhàn què cháo,斑鸠不会做窠，常强占喜鹊的窠。比喻强占别人的住屋。
人定胜天,rén dìng shèng tiān,人定指人谋。指人力能够战胜自然。
天作之合,tiān zuò zhī hé,合配合∶象是上天给予安排，很完美地配合到一起。祝人婚姻美满的话。
鱼米之乡,yú mǐ zhī xiāng,指盛产鱼和稻米的富饶地方。
绵延不断,mián yán bù duàn,形容相同的自然景观一个接一个不间断地出现。
回头是岸,huí tóu shì àn,佛家语，指有罪的人只要回心转意，痛改前非，就能登上彼岸”，获得超度◇比喻做坏事的人，只要决心悔改，就有出路。
吃喝玩乐,chī hē wán lè,指过恣意享乐的生活。
作奸犯科,zuò jiān fàn kē,奸坏事；科法律条文。为非作歹，触犯法令。
流芳百世,liú fāng bǎi shì,流流传；芳香，指好名声；百世时间久远∶的名声永远流传下去。
矫揉造作,jiǎo róu zào zuò,矫使弯的变成直的；揉使直的变成弯的。比喻故意做作，不自然。
从一而终,cóng yī ér zhōng,丈夫死了不再嫁人，这时旧时束缚妇女的封建礼教。
急流勇退,jí liú yǒng tuì,在急流中勇敢地立即退却。比喻做官的人在得意时为了避祸而及时引退。
命途多舛,mìng tú duō chuǎn,舛不顺，不幸。命运充满不顺。指一生坎坷，屡受挫折。
玩物丧志,wán wù sàng zhì,玩玩赏；丧丧失；志志气。指迷恋于所玩赏的事物而消磨了积极进取的志气。
含沙射影,hán shā shè yǐng,传说一种叫蜮的动物，在水中含沙喷射人的影子，使人生病。比喻暗中攻击或陷害人。
乐不思蜀,lè bù sī shǔ,很快乐，不思念蜀国。比喻在新环境中得到乐趣，不再想回到原来环境中去。
四面出击,sì miàn chū jī,形容工作全面展开，没有重点。
此起彼落,cǐ qǐ bǐ luò,这里起来，那里下去。形容接连不断。
文以载道,wén yǐ zài dào,载装载，引伸为阐明；道道理，泛指思想。指文章是为了说明道理的。
自取灭亡,zì qǔ miè wáng,所作所为把自己引上绝路。
养生之道,yǎng shēng zhī dào,指修养身心，以期保健延年的方法。
封官许愿,fēng guān xǔ yuàn,指以名利地位引诱别人来帮助自己达到不正当的目的。
叶公好龙,yè gōng hào lóng,叶公春秋时楚国贵族，名子高，封于叶（古邑名，今河南叶县）。比喻口头上说爱好某事物，实际上并不真爱好。
动辄得咎,dòng zhé dé jiù,辄即；咎过失，罪责。动不动就受到指摘或责难。
名扬四海,míng yáng sì hǎi,四海天下。名声传扬到天下。形容名声很大。
九霄云外,jiǔ xiāo yún wài,九霄高空。在九重天的外面。比喻无限远的地方或远得无影无踪。
欺世盗名,qī shì dào míng,欺骗世人，窃取名誉。
寸土不让,cùn tǔ bù ràng,一寸土地也不让人。
声色犬马,shēng sè quǎn mǎ,声歌舞；色女色；犬养狗；马骑马。形容剥削阶级荒淫无耻的生活方式。
如梦方醒,rú mèng fāng xǐng,象刚从梦中醒来。比喻过去一直糊涂，在别人或事实的启发下，刚刚明白过来。
水调歌头,shuǐ diào gē tóu,词牌名。
至圣先师,zhì shèng xiān shī,至最。旧时特指孔子。
夜长梦多,yè cháng mèng duō,比喻时间一拖长，情况可能发生不利的变化。
目不识丁,mù bù shí dīng,连最普通的丁”字也不认识。形容一个字也不认得。
千难万难,qiān nán wàn nán,犹言好不容易。
侠肝义胆,xiá gān yì dǎn,侠客的肝，义士的胆。形容见义勇为、锄强扶弱、打抱不平的心肠和行动。
纵横驰骋,zòng héng chí chěng,纵南北方向；横东西方向；驰骋纵马疾驰。不受阻挡地往来奔驰。形容英勇战斗，所向无敌。也比喻写作上才思奔放，意到笔随。
执法如山,zhí fǎ rú shān,执行法律象山一样不可动摇。
罪孽深重,zuì niè shēn zhòng,孽罪恶。指做了很大的坏事，犯了很大的罪。
万里无云,wàn lǐ wú yún,湛湛蓝天，没有一丝云彩。形容天气晴朗。
乘兴而来,chéng xìng ér lái,乘趁，因；兴兴致，兴趣。趁着兴致来到，结果很扫兴的回去。
打马虎眼,dǎ mǎ hu yǎn,故意装糊涂蒙骗人。
劳燕分飞,láo yàn fēn fēi,劳伯劳。伯劳、燕子各飞东西。比喻夫妻、情侣别离。
钢筋铁骨,gāng jīng tiě gǔ,筋骨象钢铁打铸的一般。形容身体健壮有力或意志坚强不屈。
自怨自艾,zì yuàn zì yì,怨怨恨，悔恨；艾割草，比喻改正错误。原意是悔恨自己的错误，自己改正。现在只指悔恨自己的错误。
粉饰太平,fěn shì tài píng,粉饰涂饰表面。把社会黑暗混乱的状况掩饰成太平的景象。
不落俗套,bù luò sú tào,不因袭陈旧的格式。
新婚燕尔,xīn hūn yàn ěr,原为弃妇诉说原夫再娶与新欢作乐，后反其意，用作庆贺新婚之辞。形容新婚时的欢乐。
鸣金收兵,míng jīn shōu bīng,用敲锣等发出信号撤兵回营。比喻战斗暂时结束。
蔚为大观,wèi wéi dà guān,蔚茂盛；大观盛大的景象。发展成为盛大壮观的景象。形容事物美好繁多，给人一种盛大的印象。
仓皇出逃,cāng huáng chū táo,仓皇匆忙，慌张。慌慌张张地外出逃跑。
不以为耻,bù yǐ wéi chǐ,不认为是可耻的。指不知羞耻。
自有公论,zì yǒu gōng lùn,指事情的是非曲直公众自然会有评论。
无远弗届,wú yuǎn fú jiè,不管多远之处，没有不到的。
口说无凭,kǒu shuō wú píng,单凭口说，不足为据。
不舍昼夜,bù shě zhòu yè,舍放弃。不放弃白天和黑夜。比喻夜以继日。
白头到老,bái tóu dào lǎo,白头头发白。夫妻相亲相爱，一直到老。
书声琅琅,shū shēng lǎng lǎng,形容读书声音响亮。
自甘堕落,zì gān duò luò,自己甘心思想行为向坏的方向发展。
喜怒无常,xǐ nù wú cháng,一会儿高兴，一会儿生气。形容态度多变。
自惭形秽,zì cán xíng huì,形秽形态丑陋，引伸为缺点。因为自己不如别人而感到渐愧。
志士仁人,zhì shì rén rén,原指仁爱而有节操，能为正义牺牲生命的人。现在泛指爱国而为革命事业出力的人。
无巧不成书,wú qiǎo bù chéng shū,比喻事情十分凑巧。
九泉之下,jiǔ quán zhī xià,九泉地下。死人埋葬的地方，即在阴间。
怒发冲冠,nù fà chōng guān,指愤怒得头发直竖，顶着帽子。形容极端愤怒。
东挪西借,dōng nuó xī jiè,指到处挪借款项。
心怀鬼胎,xīn huái guǐ tāi,比喻藏着不可告人的心事。
重振旗鼓,chóng zhèn qí gǔ,比喻失败后，整顿再起。
刀耕火种,dāo gēng huǒ zhòng,古时一种耕种方法，把地上的草烧成灰做肥料，就地挖坑下种。
名垂青史,míng chuí qīng shǐ,青史古代在竹简上记事，因称史书。把姓名事迹记载在历史书籍上。形容功业巨大，永垂不朽。
井水不犯河水,jǐng shuǐ bù fàn hé shuǐ,比喻各管各的，互不相犯。
萍水相逢,píng shuǐ xiāng féng,浮萍随水漂泊，聚散不定。比喻向来不认识的人偶然相遇。
出头之日,chū tóu zhī rì,出头摆脱困境等。指从困厄、冤屈、压抑的处境中摆脱出来的日子。
两肋插刀,liǎng lèi chā dāo,两边肋骨插上刀，表示不怕死。比喻承担极大的牺牲。
烽火连天,fēng huǒ lián tiān,形容战火遍及各地。
断子绝孙,duàn zǐ jué sūn,没有儿子，也没有孙子。指没有后代。
不骄不躁,bù jiāo bù zào,躁急躁。不骄傲，不急躁。形容人态度谦逊，工作谨慎踏实。
仁至义尽,rén zhì yì jìn,至极，最；尽全部用出。竭尽仁义之道。指人的善意和帮助已经做到了最大限度。
不足挂齿,bù zú guà chǐ,不足不值得；挂齿放在嘴上讲。表示不值得一提。
舞文弄墨,wǔ wén nòng mò,舞、弄故意玩弄；文、墨文笔。故意玩弄文笔。原指曲引法律条文作弊◇常指玩弄文字技巧。
迷惑不解,mí huò bù jiě,指对谋事非常疑惑，很不理解。同大惑不解”。
波谲云诡,bō jué yún guǐ,谲诡怪异，变化∶象云彩和水波那样，形态不可捉摸。原形容房屋构造就象云彩、波浪一样千姿百态◇多形容事物变幻莫测。
大难临头,dà nàn lín tóu,难灾祸；临来到。大祸落到头上。
欲擒故纵,yù qín gù zòng,擒捉；纵放。故意先放开他，使他放松戒备，充分暴露，然后再把他捉住。
锦衣玉食,jǐn yī yù shí,锦衣鲜艳华美的衣服；玉食珍美的食品。精美的衣食。形容豪华奢侈的生活。
坐卧不安,zuò wò bù ān,坐着躺着都不安宁。形容因忧愁恐惧而不安的样子。
高头大马,gāo tóu dà mǎ,指体形高大的马。也比喻人的体形高大。
瑕不掩瑜,xiá bù yǎn yú,瑕玉上面的斑点，比喻缺点；掩遮盖；瑜美玉的光泽，比喻优点。比喻缺点掩盖不了优点，缺点是次要的，优点是主要的。
风流韵事,fēng liú yùn shì,风雅而有情趣的事。旧指文人诗歌吟咏及琴棋书画等活动。也指男女私情。
等量齐观,děng liàng qí guān,等同等；量衡量，估量；齐一齐，同样。指对有差别的事物同等看待。
放荡不羁,fàng dàng bù jī,羁约束。放纵任性，不加检点，不受约束。
迎头痛击,yíng tóu tòng jī,迎头迎面，当头；痛狠狠地。迎上去给敌人以狠狠的打击。
借尸还魂,jiè shī huán hún,迷信者认为，人死后可将灵魂附于他人尸体而复活。比喻已经消灭或没落的事物又以另一种形式出现。
光阴荏苒,guāng yīn rěn rǎn,荏苒时间一点一点的流逝。指时间渐渐地过去了。
穷则思变,qióng zé sī biàn,原指事物到了尽头就要发生变化。现指在穷困艰难的时候，就要想办法改变现状。
生杀予夺,shēng shā yù duó,生让人活；杀处死；予给予；夺剥夺。形容反动统治者掌握生死、赏罚大权。
心术不正,xīn shù bù zhèng,指人用心不忠厚，不正派。
倚老卖老,yǐ lǎo mài lǎo,卖卖弄。仗着岁数大，摆老资格。
榜上无名,bǎng shàng wú míng,张贴的名单上没有名字。泛指落选。
求知若渴,qiú zhī ruò kě,知知识。探求知识像口渴想喝水一样迫切。形容求知愿望十分迫切。
装疯卖傻,zhuāng fēng mài shǎ,故意装成疯疯癫癫，傻里傻气。
眉来眼去,méi lái yǎn qù,形容用眉眼传情。
白山黑水,bái shān hēi shuǐ,长白山和黑龙江。泛指我国东北地区。
衣冠楚楚,yī guān chǔ chǔ,楚楚鲜明、整洁的样子。衣帽穿戴得很整齐，很漂亮。
火烧眉毛,huǒ shāo méi máo,火烧到眉毛。比喻事到眼前，非常急迫。
弄假成真,nòng jiǎ chéng zhēn,本来是假装的，结果却弄成了真的。
痴心妄想,chī xīn wàng xiǎng,痴心沉迷于某人或某事的心思；妄想荒诞的打算。一心想着不可能实现的事。也指愚蠢荒唐的想法。
满园春色,mǎn yuán chūn sè,整个园子里一片春天的景色。比喻欣欣向荣的景象。
真命天子,zhēn mìng tiān zǐ,旧时所谓秉承天命降世的皇帝。
渔翁之利,yú wēng zhī lì,犹言渔人之利。
兵不血刃,bīng bù xuè rèn,兵武器；刃刀剑等的锋利部分。兵器上没有沾上血。形容未经战斗就轻易取得了胜利。
无米之炊,wú mǐ zhī chuī,炊做饭。比喻缺少必要条件无法办成的事。
查无实据,chá wú shí jù,查究起来，没有确实的根据或证据。
伤风败俗,shāng fēng bài sú,伤、败败坏。指败坏社会风俗。多用来遣责道德败坏的行为。
狐朋狗友,hú péng gǒu yǒu,泛指一些吃喝玩乐、不务正业的朋友。
满腹牢骚,mǎn fù láo sāo,牢骚抑郁不平之感。一肚子的不满情绪。形容心情极为抑郁，很不得意。
鸡犬不宁,jī quǎn bù níng,宁安宁。形容骚扰得厉害，连鸡狗都不得安宁。
锦囊妙计,jǐn náng miào jì,旧小说里描写足智多谋的人把对付敌方的计策写在纸条上，放在锦囊里，以便当事人在紧急时拆阅。比喻有准备的巧妙办法。
未老先衰,wèi lǎo xiān shuāi,年纪还不大就衰老了。多指由于精神或体力负担过重而导致过早衰老。
狐狸尾巴,hú li wěi ba,古时传说狐狸能够变成人形来迷惑人，但它的尾巴却始终变不了，成为妖的标志。比喻坏人的本来面目或迷惑人的罪证。
一石二鸟,yī shí èr niǎo,扔一颗石子打到两只鸟。比喻做一件事情得到两样好处。
自我解嘲,zì wǒ jiě cháo,用言语或行动为自己掩盖或辩解被人嘲笑的事。
喝西北风,hē xī běi fēng,指没有东西吃。
搔首弄姿,sāo shǒu nòng zī,搔用手指梳。形容装腔作势卖弄风情。
以天下为己任,yǐ tiān xià wéi jǐ rèn,把国家的兴衰治乱作为自己的责任。
百密一疏,bǎi mì yī shū,在极周密的考虑中偶然出现了一点疏忽。
大动肝火,dà dòng gān huǒ,指大怒。
浩然之气,hào rán zhī qì,浩盛大、刚直的样子；气指精神。指浩大刚正的精神。
死无对证,sǐ wú duì zhèng,对证核实。当事人已死，无法核对事实。
为虎作伥,wèi hǔ zuò chāng,伥伥鬼，古时传说被老虎吃掉的人，死后变成伥鬼，专门引诱人来给老虎吃。替老虎做伥鬼。比喻充当恶人的帮凶。
千秋万代,qiān qiū wàn dài,一千年，一万代。指世世代代，时间久长。
精诚所至,jīng chéng suǒ zhì,人的真诚的意志所到。
时来运转,shí lái yùn zhuǎn,旧指时机来了，命运也有了转机。指境况好转。
初露锋芒,chū lù fēng máng,比喻刚开始显示出力量或才能。
血迹斑斑,xuè jì bān bān,形容留下的血架多。
民脂民膏,mín zhī mín gāo,脂、膏脂肪。比喻人民用血汗换来的财富。多用于指反动统治阶级压榨人民来养肥自己的场合。
待字闺中,dài zì guī zhōng,字许配；闺女子卧室。留在闺房之中，等待许嫁。旧指女子成年待聘。
反戈一击,fǎn gē yī jī,掉转武器向自己原来所属的阵营进行攻击。
溘然长逝,kè rán cháng shì,指死去。
邪不压正,xié bù yā zhèng,不正当的、不正派的压不倒正当的、正派的事物。
唱对台戏,chàng duì tái xì,过去，两个戏班子为了抢生意，有时候会硐一时间演同样的戏，称为唱对台戏。比喻采取与对方相对的行动，来反对或搞垮对方。
寻欢作乐,xún huān zuò lè,寻求欢快，设法取乐。形容追求享乐。
止于至善,zhǐ yú zhì shàn,止达到；至最，极。达到极完美的境界。
形形色色,xíng xíng sè sè,形形原指生出这种形体；色色原指生出这种颜色。指各式各样，种类很多。
有一搭没一搭,yǒu yī dā méi yī dā,表示故意找话说。也表示可有可无，无足轻重。
永无宁日,yǒng wú níng rì,永远没有安宁的翌日，指社会不安。
树碑立传,shù bēi lì zhuàn,树树立；传传记。原指把某人生平事迹刻在石碑上或写成传记，使他的名声世代流传下去。现比喻树立个人威信，抬高个人声望。
鼎鼎有名,dǐng dǐng yǒu míng,鼎鼎盛大的样子。非常有名。
青出于蓝而胜于蓝,qīng chū yú lán ér shèng yú lán,青从蓝草中提炼出来，但颜色比蓝草更深。
